RiverMile,Lat,Long
-15.79,36.9359,-111.4832
-15.78,36.9357,-111.4832
-15.77,36.9356,-111.4831
-15.76,36.9355,-111.483
-15.75,36.9353,-111.4829
-15.74,36.9352,-111.4829
-15.73,36.9351,-111.4828
-15.72,36.9349,-111.4827
-15.71,36.9348,-111.4827
-15.7,36.9347,-111.4826
-15.69,36.9345,-111.4825
-15.68,36.9344,-111.4825
-15.67,36.9343,-111.4824
-15.66,36.9341,-111.4823
-15.65,36.934,-111.4823
-15.64,36.9339,-111.4822
-15.63,36.9337,-111.4821
-15.62,36.9336,-111.4821
-15.61,36.9335,-111.482
-15.6,36.9333,-111.4819
-15.59,36.9332,-111.4819
-15.58,36.9331,-111.4818
-15.57,36.9329,-111.4817
-15.56,36.9328,-111.4817
-15.55,36.9326,-111.4816
-15.54,36.9325,-111.4815
-15.53,36.9324,-111.4815
-15.52,36.9322,-111.4814
-15.51,36.9321,-111.4813
-15.5,36.932,-111.4813
-15.49,36.9318,-111.4812
-15.48,36.9317,-111.4811
-15.47,36.9316,-111.4811
-15.46,36.9314,-111.481
-15.45,36.9313,-111.4809
-15.44,36.9312,-111.4809
-15.43,36.931,-111.4808
-15.42,36.9309,-111.4807
-15.41,36.9308,-111.4807
-15.4,36.9306,-111.4806
-15.39,36.9305,-111.4805
-15.38,36.9304,-111.4805
-15.37,36.9302,-111.4804
-15.36,36.9301,-111.4803
-15.35,36.93,-111.4802
-15.34,36.9298,-111.4802
-15.33,36.9297,-111.4801
-15.32,36.9296,-111.48
-15.31,36.9294,-111.48
-15.3,36.9293,-111.4799
-15.29,36.9291,-111.4799
-15.28,36.929,-111.4798
-15.27,36.9289,-111.4798
-15.26,36.9287,-111.4797
-15.25,36.9286,-111.4797
-15.24,36.9284,-111.4796
-15.23,36.9283,-111.4796
-15.22,36.9282,-111.4795
-15.21,36.928,-111.4795
-15.2,36.9279,-111.4794
-15.19,36.9277,-111.4794
-15.18,36.9276,-111.4793
-15.17,36.9275,-111.4793
-15.16,36.9273,-111.4793
-15.15,36.9272,-111.4793
-15.14,36.927,-111.4793
-15.13,36.9269,-111.4793
-15.12,36.9268,-111.4793
-15.11,36.9266,-111.4794
-15.1,36.9265,-111.4795
-15.09,36.9264,-111.4796
-15.08,36.9263,-111.4798
-15.07,36.9262,-111.4799
-15.06,36.9261,-111.48
-15.05,36.926,-111.4802
-15.04,36.9259,-111.4803
-15.03,36.9258,-111.4805
-15.02,36.9257,-111.4806
-15.01,36.9256,-111.4807
-15,36.9255,-111.4809
-14.99,36.9254,-111.481
-14.98,36.9253,-111.4811
-14.97,36.9252,-111.4813
-14.96,36.9251,-111.4814
-14.95,36.925,-111.4815
-14.94,36.9249,-111.4817
-14.93,36.9248,-111.4818
-14.92,36.9247,-111.4819
-14.91,36.9246,-111.4821
-14.9,36.9245,-111.4822
-14.89,36.9245,-111.4823
-14.88,36.9244,-111.4825
