"","YearSpan","RM","MaxTempDegC","MaxTempDegCInterpolated"
"1","2000-2021",0,13.60454545,13.60454545
"2","2000-2021",1,NA,13.6128325313333
"3","2000-2021",2,NA,13.6211196126667
"4","2000-2021",3,NA,13.629406694
"5","2000-2021",4,NA,13.6376937753333
"6","2000-2021",5,NA,13.6459808566667
"7","2000-2021",6,NA,13.654267938
"8","2000-2021",7,NA,13.6625550193333
"9","2000-2021",8,NA,13.6708421006667
"10","2000-2021",9,NA,13.679129182
"11","2000-2021",10,NA,13.6874162633333
"12","2000-2021",11,NA,13.6957033446667
"13","2000-2021",12,NA,13.703990426
"14","2000-2021",13,NA,13.7122775073333
"15","2000-2021",14,NA,13.7205645886667
"16","2000-2021",15,NA,13.72885167
"17","2000-2021",16,NA,13.7371387513333
"18","2000-2021",17,NA,13.7454258326667
"19","2000-2021",18,NA,13.753712914
"20","2000-2021",19,NA,13.7619999953333
"21","2000-2021",20,NA,13.7702870766667
"22","2000-2021",21,NA,13.778574158
"23","2000-2021",22,NA,13.7868612393333
"24","2000-2021",23,NA,13.7951483206667
"25","2000-2021",24,NA,13.803435402
"26","2000-2021",25,NA,13.8117224833333
"27","2000-2021",26,NA,13.8200095646667
"28","2000-2021",27,NA,13.828296646
"29","2000-2021",28,NA,13.8365837273333
"30","2000-2021",29,NA,13.8448708086667
"31","2000-2021",30,13.85315789,13.85315789
"32","2000-2021",31,NA,13.8946689258065
"33","2000-2021",32,NA,13.9361799616129
"34","2000-2021",33,NA,13.9776909974194
"35","2000-2021",34,NA,14.0192020332258
"36","2000-2021",35,NA,14.0607130690323
"37","2000-2021",36,NA,14.1022241048387
"38","2000-2021",37,NA,14.1437351406452
"39","2000-2021",38,NA,14.1852461764516
"40","2000-2021",39,NA,14.2267572122581
"41","2000-2021",40,NA,14.2682682480645
"42","2000-2021",41,NA,14.309779283871
"43","2000-2021",42,NA,14.3512903196774
"44","2000-2021",43,NA,14.3928013554839
"45","2000-2021",44,NA,14.4343123912903
"46","2000-2021",45,NA,14.4758234270968
"47","2000-2021",46,NA,14.5173344629032
"48","2000-2021",47,NA,14.5588454987097
"49","2000-2021",48,NA,14.6003565345161
"50","2000-2021",49,NA,14.6418675703226
"51","2000-2021",50,NA,14.683378606129
"52","2000-2021",51,NA,14.7248896419355
"53","2000-2021",52,NA,14.7664006777419
"54","2000-2021",53,NA,14.8079117135484
"55","2000-2021",54,NA,14.8494227493548
"56","2000-2021",55,NA,14.8909337851613
"57","2000-2021",56,NA,14.9324448209677
"58","2000-2021",57,NA,14.9739558567742
"59","2000-2021",58,NA,15.0154668925806
"60","2000-2021",59,NA,15.0569779283871
"61","2000-2021",60,NA,15.0984889641935
"62","2000-2021",61,15.14,15.14
"63","2000-2021",62,NA,15.1841608392308
"64","2000-2021",63,NA,15.2283216784615
"65","2000-2021",64,NA,15.2724825176923
"66","2000-2021",65,NA,15.3166433569231
"67","2000-2021",66,NA,15.3608041961538
"68","2000-2021",67,NA,15.4049650353846
